VPS PRODUCT COMPARISON QUICK REFERENCE,,
Product,Value VPS,Pro VPS
Product Name,Automated KVM Windows VPS Value with Plesk,Automated KVM Windows VPS Pro with Plesk
Best Price 36 months,RM 98.90 per month,RM 127.90 per month
Best Total 36 months,RM 3560.40,RM 4604.40
Monthly Difference,RM 39.00 more for Pro,RM 39.00 more for Pro
,,,,,
SECTION 1 PRODUCT SPECIFICATIONS,,
Specification,Value VPS,Pro VPS
vCPUs,2,4
RAM,2 GB,4 GB
SSD Storage,50 GB,100 GB
IP Address,1,1
Network Speed,100 Mbps,100 Mbps
Data Transfer,Unlimited,Unlimited
Hypervisor,KVM,KVM
Operating System,Windows 2022 Plesk 18 Obsidian,Windows 2022 Plesk 18 Obsidian
Control Panel,Plesk 10 Domains Web Admin Edition,Plesk 10 Domains Web Admin Edition
Managed Services,BASIC Silver Managed Service Included,BASIC Silver Managed Service Included
Setup Fee,RM 0.00,RM 0.00
,,,,,
SECTION 2 PRICING MONTHLY RATES,,
Billing Cycle,Value VPS per month,Pro VPS per month,Savings
1 Month,RM 125.90,RM 164.90,0 percent
3 Months,RM 119.90,RM 154.90,10 percent off
6 Months,RM 117.90,RM 150.90,14 percent off
12 Months 1 Year,RM 113.90,RM 144.90,21 percent off
24 Months 2 Years,RM 106.90,RM 137.90,34 percent off Value or 29 percent off Pro
36 Months 3 Years,RM 98.90,RM 127.90,49 percent off Value or 40 percent off Pro
,,,,,
SECTION 3 TOTAL AMOUNT TO PAY ALL PLANS,,
Billing Cycle,Value VPS Total Due,Pro VPS Total Due,Difference
1 Month Plan,RM 125.90,RM 164.90,RM 39.00
3 Months Plan,RM 359.70,RM 464.70,RM 105.00
6 Months Plan,RM 707.40,RM 905.40,RM 198.00
12 Months Plan 1 Year,RM 1366.80,RM 1738.80,RM 372.00
24 Months Plan 2 Years,RM 2565.60,RM 3309.60,RM 744.00
36 Months Plan 3 Years,RM 3560.40,RM 4604.40,RM 1044.00
,,,,,
NOTE All amounts shown are TOTAL DUE TODAY full payment upfront,,
Setup Fee RM 0.00 for both plans,,
,,,,,
SECTION 4 PAYMENT BREAKDOWN BY PLAN,,
,,,,,
PLAN 1 MONTH,,
Monthly Rate,Value VPS RM 125.90,Pro VPS RM 164.90
Setup Fee,RM 0.00,RM 0.00
TOTAL DUE TODAY,RM 125.90,RM 164.90
,,,,,
PLAN 3 MONTHS,,
Monthly Rate,Value VPS RM 119.90,Pro VPS RM 154.90
Setup Fee,RM 0.00,RM 0.00
Total Amount 3 months,RM 359.70,RM 464.70
TOTAL DUE TODAY,RM 359.70,RM 464.70
,,,,,
PLAN 6 MONTHS,,
Monthly Rate,Value VPS RM 117.90,Pro VPS RM 150.90
Setup Fee,RM 0.00,RM 0.00
Total Amount 6 months,RM 707.40,RM 905.40
TOTAL DUE TODAY,RM 707.40,RM 905.40
